Identifier,Title,Date of Publication,Place of Publication
350203,"Seven Essays on Christian Greece ... Translated by John, Marquess of Bute, K.T. Reprinted from the “Scottish Review.”",1890,Paisley
350965,"L'Île de Rhodes, etc. [With a map.]",1881,Rhodes
351316,"S. Bille's Bericht über die Reise der Corvette Galathea um die Welt in den Jahren 1845, 46 und 47. Aus dem Dänischen übersetzt, und theilweise bearbeitet von W. v. Rosen",1852,Kopenhagen
351415,"Beaujolais-Forez-Dombes. Thizy et les environs. Armorial et notes généalogiques. Ouvrage orné de 380 gravures et rédigé d'après les notes éparses laissées par Étienne Mulsant, etc",1899,Lyon
351651,Colmar und die Schreckenszeit. Ein Tagebuch [by S. Billing] und Aktenstücke aus den Revolutionsjahren 1789-1796. Aus ungedruckten Quellen gesammelt und herausgegeben von Julius Rathgeber,1873,Stuttgart
351652,"Sigismund Billings kleine Chronik der Stadt Colmar, herausgegeben von Andreas Waltz. Mit mehreren Abbildungen",1891,Colmar
353670,"Excursions in North Wales, including Aberystwith and the Devil's Bridge ... Third edition, with corrections and additions made during excursions in the year 1838, by his son, W. R. Bingley ... With a ... map by J. and C. Walker",1839,London
354730,"Costa Rica and her Future ... Translated ... by Cecil Charles ... Accompanied by a map, etc",1889,Washington
355053,"The Cities and Towns of China, a geographical dictionary by G. M. H. Playfair. [A revised version of Biot's “Dictionnaire.”]",1879,Hongkong
355309,"The City of Renown, and other poems. By C. and Reginald Salwey",1859,pp. 92. Heath Cranton
355563,"The Court and Times of James the First; illustrated by authentic and confidential letters, from various public and private collections. [Compiled by T. Birch.] Edited, with an introduction and notes, by the author of “Memoirs of Sophia Dorothea” [i.e. Robert Folkestone Williams], etc",1848,London
355669,"Original Documents relating to Sheffield, principally in connection with Mary, Queen of Scots. [Reprinted from the “Journal of the British Archæological Association.”]",1874,London
356223,"Francis Abbott, the recluse of Niagara: and Metropolitan Sketches; second series",1837,London
356572,"Birds of Prey. A novel. By the author of “Lady Audley's Secret” [i.e. Mary Elizabeth Braddon, afterwards Maxwell]",1867,London
356653,The Diary of a Citizen of Paris during 'The Terror' ... Translated & edited by John De Villiers. With two portraits,1896,London
357008,The Township of Birkenhead. [By Philip Sulley.]: Appendix,1893,Birkenhead
358566,"An Historical and Descriptive Sketch of Birmingham, with some account of its environs, and forty-four views of the principal public buildings, etc. [By George Yates?]: Appendix",1830,Birmingham
358567,"An Historical Curiosity, by a Birmingham resident [i.e. William Hamper]. One hundred and forty-one ways of spelling Birmingham: Appendix",1880,London
358592,"The Stranger's Guide to Modern Birmingham, with an account of its public buildings and institutions, its show rooms and manufactories. With observations on the surrounding neighbourhood, etc. [A revised edition of “A Description of Modern Birmingham,” by Charles Pye.]: Appendix",1835,Birmingham
358663,"[The Birmingham Saturday half-holiday guide, with a map. [By Joseph Sturge.]]",1879,Birmingham
358664,"[The Birmingham Saturday half-holiday guide, with a map. [By Joseph Sturge.]]",1890,Birmingham
358665,"[The Birmingham Saturday half-holiday guide, with a map. [By Joseph Sturge.]]",1892,Birmingham
358883,"Geschichte der Stadt und Bundesfestung Landau, mit dazu gehörigen Belegen. Zweite ... Ausgabe, etc. [With “Successio conjugum consuetudinaria ... Brevissime conscripta ... studio et opera Joannis Jacobi Schattenmanni.”]",1830,Kaiserslautern
359418,"The Birthday Album of thoughts for the thoughtful and 'sweets to the sweet.' Compiled by the author of 'Bygone Days,' 'Round the Grange Farm,' etc. [i.e. Jean L. Watson.]",1876,Edinburgh
359419,"[The Birthday Album of thoughts for the thoughtful and 'sweets to the sweet.' Compiled by the author of 'Bygone Days,' 'Round the Grange Farm,' etc. [i.e. Jean L. Watson.]]",1880,Edinburgh
360206,"The Registers of Caundle Bishop, Dorset. From 1570 to 1814. Transcribed by ... C. H. Mayo, etc",1895,London
360602,"The Brighton Chain Pier: in memoriam. Its history from 1823 to 1896, with a biographical notice of Sir Samuel Brown, its designer and constructor, etc. [With plates.]",1896,Brighton
362761,"Niels Henrik Abel. En skildring af hans liv og videnskabelige virksomhed ... Fölgeskrift til “Nordisk tidskrift för vetenskap, konst och industri, etc.”",1880,Stockholm
363704,"[The Baron's War, including the battles of Lewes and Evesham. [With illustrations.]]",1871,London
363861,The Black-Box Murder. By the man who discovered the murderer. [By J. M. W. van der Poorten Schwartz.],1889,London
363879,Black Moss. A tale by a tarn. By the author of “Miriam May” and “Crispen Ken” [i.e. Arthur Robins],1864,London
364081,[Black's Picturesque guide to the English Lakes ... Eighth edition.]: Guide Books. English Lakes,1858,Edinburgh
364223,"[Black's Guide to the Isle of Man.]: Guide Books. Man, Isle of",1896,London
365514,[The Strange Adventures of a Phaeton ... Third edition.],1874,London
365883,Breton Folk. An artistic tour in Brittany ... With one hundred and seventy illustrations by R. Caldecott,1880,London
365886,"The Pyrenees: a description of summer life at French watering places ... With ... illustrations by Gustave Doré, and a new map of the Central Pyrenees",1867,London
365887,"[The Pyrenees: a description of summer life at French watering places ... With ... illustrations by Gustave Doré, and a new map of the Central Pyrenees.]",1881,London
366118,A Modern Parrhasius. A novel,1875,London
366406,"Blackfriars; or, the Monks of old. A romantic chronicle. [By Walter Stephens.]",1864,London
366677,The Selected Poems of J. S. Blackie. Edited with an appreciation by Archibald Stodart Walker. With a portrait,1896,London
367055,Dariel. A romance of Surrey ... With drawings by Chris Hammond,1897,Edinburgh & London
367064,[Lorna Doone: a romance of Exmoor.],1883,London
367739,Lettre écrites des régions polaires par lord Dufferin et traduites de l'anglais ... par F. de Lanoye. Ouvrage illustré de vingt-cinq vignettes sur bois et accompagné de trois cartes,1860,Paris
367740,[Lettre écrites des régions polaires par lord Dufferin et traduites de l'anglais ... par F. de Lanoye. Ouvrage illustré de vingt-cinq vignettes sur bois et accompagné de trois cartes.],1882,Paris
367760,"Songs, Poems, & Verses. By Helen, Lady Dufferin ... Edited with a memoir, and some account of the Sheridan family, by her son, the Marquess of Dufferin and Ava. With portrait",1859,pp. x. 429. John Murray
367951,"Bonderesningen i svenska Österbotten. En episod från 1808 års finska krig. Dagboksanteckningar af Kanslirådet P. J. Bladh, sammanstälda af J. Oskar I. Rancken",1882,Stockholm
369313,"The Grave, a poem: altered into rhime, from the blank verse, of R. Blair. To which is added, Gray's celebrated Elegy, written in a Country Church-Yard. Both illustrated with notes and occasional remarks [by Henry Lemoine]",1790,London
369579,Anthony Blake's Experiment. [A novel. By Alice O'Brien.],1896,London
369722,"Arctic Experiences: containing Capt. George E. Tyson's ... drift on the ice-floe, a history of the Polaris expedition, the cruise of the Tigress, and rescue of the Polaris survivors ... Edited by E. V. Blake. [With plates.]",1874,New York
369931,"Blueskin: a romance of the last century. By the author of “Black Bess; or, the Knight of the road” [i.e. Edward Viles]",1866,London
370897,"A Boy in the Peninsular War. The services, adventures, and experiences of Robert Blakeney, subaltern in the 28th regiment. An autobiography. Edited by J. Sturgis, etc",1899,London
371033,History of Shrewsbury Hundred or Liberties ... Edited from the original MS. in the Bodleian Library by the Rev. W. G. D. Fletcher ... Reprinted from the Shropshire Archæological Transactions,1897,Oswestry
371430,1848. Historical Revelations: inscribed to Lord Normanby. [An answer to Lord Normanby's “A Year of Revolution in Paris.”],1858,London
371439,Letters on England ... Translated from the French by James Hutton and revised by the author,1866,London
371441,Letters on England ... Second series. Translated by James Hutton and L. J. Trotter,1867,London
372812,The prophet's mantle,1889,enk
373327,"Gids der Nederlandsche weldadigheid. Uit officiëele en particuliere bronnen bewerkt door J. F. L. Blankenberg, Dr. H. J. de Dompierre de Chaufepié en Jhr. Mr. H. Smissaert. Met een voorrede van Mr. N. G. Pierson",1899,Amsterdam
373449,La Chapelle de Gaillon et les fresques d'Andrea Solario. (Extrait du Bulletin de la Société des Amis des Arts du département de l'Eure.),1899,Évreux
373601,"Essai comparé sur les institutions, les lois et les mœurs de la Roumanie ... Éclaircissements et annexes. Réponse à deux contradicteurs [i.e. George Popovici and Josef Ladislav Píč]",1886,Bucarest
375446,"The Order Book of Capt. Leonard Bleeker, Major of Brigade in the ... expedition under Gen. James Clinton, against the Indian settlements of Western New York, in the campaign of 1779. [The editor's introduction signed: F. B. H., i.e. F. B. Hough.]",1865,New York
376211,Lyon Pittoresque ... Avec une préface de M. Coste-Labaume. Illustré ... par J. Drevet,1896,Paris
376259,"Brighton and its Coaches. A history of the London and Brighton road. With some account of the provincial coaches that have run from Brighton ... With twenty illustrations from original water-colour drawings by J. & G. Temple, etc",1894,London
376790,[The Ascent of Man. [With other poems.]],1899,London
376809,A Selection from the Poems of Mathilde Blind. Edited by A. Symons,1897,London
376847,Blindpits. [A novel. By Elizabeth Taylor.],1868,Edinburgh
377137,"Three Months in the Orient; also, Life in Rome, and the Vienna Exposition. [A series of letters contributed to the Chicago “Inter-Ocean.” The editors' preface signed: E. R. B., H. M. B., i.e. E. R. Bliss and H. M. Bliss respectively?]",1875,Chicago
378708,[Das Königreich Norwegen. Statistisch beschrieben ... Mit einem Vorwort von Carl Ritter ... Mit zwei colorirten Karten.],1845,Leipzig
379543,Blondelle. A story of the day. [By Sir Henry Drummond Wolff.],1852,London
380255,The works of Robert Bloomfield. A complete edition,1883,enk
380279,"Rural tales, ballads, and songs",1802,enk
381198,Lady Bluebeard. By the author of 'Zit and Xoe' [i.e. Henry Curwen],1859,2 vol. W. Blackwood & Sons
382895,"Bedouin Tribes of the Euphrates ... Edited, with a preface and some account of the Arabs and their horses, by W. S. B. [i.e. W. S. Blunt] ... With map and sketches by the author",1879,London
382898,"Voyage en Arabie. Pèlerinage au Nedjed, berceau de la race arabe. Ouvrage traduit ... avec l'autorisation de l'auteur par L. Derome. Contenant 1 carte et 60 gravures ... dessinées par G. Vuillier d'après les aquarelles de Lady Anne Blunt",1882,Paris
382941,"[The American Coast Pilot ... from Passamaquoddy, through the Gulf of Florida ... together with the courses and distances from Cape Cod and Cape Ann ... to George's Bank ... Corrected and improved ... Ninth edition.]",1842,New York
382942,"[The American Coast Pilot ... from Passamaquoddy, through the Gulf of Florida ... together with the courses and distances from Cape Cod and Cape Ann ... to George's Bank ... Corrected and improved ... Ninth edition.]",1850,New-York
382943,"[The American Coast Pilot ... from Passamaquoddy, through the Gulf of Florida ... together with the courses and distances from Cape Cod and Cape Ann ... to George's Bank ... Corrected and improved ... Ninth edition.]",1867,New York
383283,The Poetry of Wilfrid Blunt. Selected and arranged by W. E. Henley and George Wyndham,1898,London
383325,Geschichte der Republik Zürich,1847,Zürich
384637,"A Letter to George Steevens, Esq., containing a critical examination of the papers of Shakspeare; published by Mr. Samuel Ireland. To which are added, extracts from Vortigern [by S. W. H. Ireland]",1796,London
385949,"The Giant's Causeway once Bamboos; Captain Morton's essays, renewed by Ben Bobstay. [With illustrations.]",1864,London
386000,"Memorias para la Historia de México Independiente, 1822-1846 ... Edición oficial dirigada por J. M. Vigil",1892,Mexico
386414,Frederic and the Falcon. Done into English verse ... By Emma Martin. [The ninth tale of the fifth day.]: Single Works. Decamerone. English. Single Tales,1847,London
386417,Patient Griselda. A tale. From the Italian of Bocaccio By Miss Sotheby. [The tenth tale of the tenth day In verse.]: Single Works. Decamerone. English. Single Tales,1798,Bristol
387885,To Kairwân the Holy: scenes in Muhammedan Africa ... Illustrated by A. F. Jacassey,1885,London
388115,"Geschichte des Bundes der Sachsenstädte bis zum Ende des Mittelalters mit Rücksicht auf die Territorien zwischen Weser und Elbe. ... Besonderer Abdruck aus den Forschungen zur deutschen Geschichte, etc. [The editor's preface signed: G. W., i.e. Georg Waitz.]",1861,Göttingen
388490,Russische Fragmente. Beiträge zur Kenntniss des Staats- und Volkslebens in seiner historischen Entwickelung. Eingeleitet und herausgegeben von F. Bodenstedt,1862,Leipzig
388944,Lord Edward Fitzgerald. An historical romance ... With illustrations by L. Linsdell,1896,London
389137,"The Bodmin Register; containing collections relative to the past and present state of the parish of Bodmin, etc. [By John Wallis.]",1827,Bodmin
389221,"A magyar nemzet története. I. kötet írta Bodon J. és Dr. Szalay J. (II.-IV.) kötet, írta Dr. Szalay J.) [With portraits.]",1879,Budapest
389694,"The Public Economy of Athens, in four books; to which is added a dissertation on the silver mines of Laurion. Translated from the German of A. Bœckh [by George Cornewall Lewis]: Die Staatshaushaltung der Athener",1828,London
389696,"The Public Economy of Athens ... Translated by George Cornewall Lewis ... Second edition, revised: Die Staatshaushaltung der Athener",1842,London
389948,[Chronik von Wiener-Neustadt. [With plates.]],1863,Wien
390243,Von Sansibar zum Tanganjika. Briefe aus Ostafrika ... Mit einer biographischen Skizze herausgegeben von Herman Schalow. Mit dem Bildniss Böhm's und einer Uebersichtskarte,1888,Leipzig
390732,"Acta Imperii selecta. Urkunden deutscher Könige und Kaiser, mit einem Anhange von Reichssachen. Gesammelt von J. F. Böhmer. Herausgegeben aus seinem Nachlasse [by Julius Ficker]",1870,Innsbruck
390738,"J. Fr. Böhmer, Regesta Archiepiscoporum Maguntinensium. Regesten zur Geschichte der Mainzer Erzbischöfe von Bonifatius bis Uriel von Gemmingen, 742?-1514. Mit Benutzung des Nachlasses von J. F. Böhmer bearbeitet und herausgegeben von Cornelius Will",1877,Innsbruck
393860,"Geschichte des Feldzuges im Jahre 1812, nach den zuverlässigsten Quellen ... bearbeitet von M. Bogdanowitsch ... Aus dem Russischen von G. Baumgarten. [With maps and plans.]",1863,Leipzig
394014,"Nidderdale: and the vale of the Nidd ... Illustrated, etc",1891,Leeds
394039,"Viaggi d'un artista nell'America Meridionale. I Caduvei, Mbayá o Guaycurú. Con prefazione ed uno studio storico ed etnografico del Dott. G. A. Colini. 112 figure, etc",1895,Roma
394286,"Narratives of the Mission of George Bogle to Tibet, and of the Journey of Thomas Manning to Lhasa. Edited, with notes, an introduction, and lives of Mr. Bogle and Mr. Manning, by Clements R. Markham. [With plates and maps.]",1876,London
394942,Tactical Deductions from the War of 1870-71 ... Translated ... by Colonel Lumley Graham,1872,London
396934,"La Rébellion d'Hesdin. Fargues et le premier président Lamoignon, 1658-1668",1897,Paris
398600,"Сборникъ матеріаловъ по руссой исторіи начала XVII вѣка. Переводъ, введеніе и примѣчанія И. М. Болдакова ... Изданіе графа С. Д. Шереметева",1896,С.-Петербургъ
398605,"La Hongrie ancienne et moderne. Histoire, arts, littérature, monuments par une société de littérateurs sous la direction de M. J. Boldenyi. Dessinateurs: Janet-Lange [and others] ... Graveurs: Trichon [and others], etc",1851,Paris
400265,"Atlas geográfico y descripción geográfica y estadística de la República oriental del Uruguay ... Noticia histórica por Santiago Bollo, etc",1896,Montevideo
401821,"[A History of the County of Westchester, from its first settlement to the present time.]",1881,New York
402357,"Bombastes Furioso; a burlesque tragic opera in one act, etc. [By William Barnes Rhodes. In verse.]",1820,Dublin
402833,"Letters on a Journey to Bombay through Syria and Arabia, in 1834-35. [By A. S. Finlay.]: Appendix",1837,Glasgow
403057,"Gazetteer of the Bombay Presidency. [Edited by Sir James M. Campbell. General index, by R. E. Enthoven.]: Miscellaneous Official Publications",1896,Bombay
403059,"Geological Papers on Western India, including Cutch, Sinde, and the South-East Coast of Arabia: to which is appended a summary of the geology of India generally. Edited for the Government by Henry J. Carter, etc: Miscellaneous Official Publications",1857,Bombay
405472,"A Brief Account of the Colony of Port Jackson ... With an interesting account of the murder of Mr. Clode, late of that settlement, as communicated by ... Richard Johnstone",1803,Southampton
405473,"[A Brief Account of the Colony of Port Jackson ... With an interesting account of the murder of Mr. Clode, late of that settlement, as communicated by ... Richard Johnstone.]",1810,Dublin
409791,"The Alpine Regions of Switzerland and the neighbouring countries. A pedestrian's notes on their physical features, scenery, and natural history ... With illustrations by E. Whymper",1868,Cambridge
409808,"The Holy Places at Jerusalem, or, Fergusson's theories and Pierotti's discoveries. [With plates.]",1864,London
409958,"Ablon-sur-Seine. Recherches historiques ... Eaux-fortes de ... P. Gillard, etc",1890,Paris
410264,"Grand Moving Panoramic Picture of the Nile, etc. MS. notes",1849,Liverpool
410593,Briefe und ausgewählte Schriften. Herausgegeben von Dr. Albert Büchi,1893,Zürich
410922,"Histoire du droit et des institutions de la Lorraine et des Trois-Évêchés, 843-1789 ... Avec une introduction de E. Glasson, etc",1895,Paris
410927,[De Paris au Tonkin à travers le Tibet inconnu.] Across Thibet ... With illustrations ... and map of route Translated by C. B. Pitman,1891,London
411385,"The Book of Familiar Quotations: being a collection of popular extracts and aphorisms, selected from the works of the best authors. [By L. C. Gent.]",1852,London
411388,"[The Book of Familiar Quotations: being a collection of popular extracts and aphorisms, selected from the works of the best authors. [By L. C. Gent.]]",1880,London
411436,"A Book of Heroines. By the author of “Margaret and her Bridesmaids” [i.e. Julia C. Stretton], etc",1869,London
411448,"[The Book of Humour, Wit & Wisdom. A manual of table-talk. [By L. C. Gent?]]",1880,London
411490,A Book of Modern Ballads ... By E. B. Browning ... and others. Illustrated by A. Havers. With headpieces by J. P. Gunter,1892,London
411664,"The Book of the Poets. (Chaucer to Beattie.) Illustrated with forty-five elegant engravings on steel, from designs by Corbould, &c. With an essay on English poetry",1844,London
411702,The Book of Travels of a Doctor of Physic. Containing his observations made in certain portions of the two continents. [By W. H. Taylor.],1871,Philadelphia
413142,"Australia ... Illustrated with drawings by Skinner Prout, N. Chevalier, etc. [With maps.]",1873,London
413669,"Doctor Nikola, etc",1896,London
413671,Dr. Nikola's Experiment ... With twenty ... illustrations by Sydney Cowell,1899,London
413730,"Memoirs of Mrs Lætitia Boothby. Written by herself. Edited [or rather, written] by Clark Russell",1872,London
414292,Campagnes de la Prusse contre l'Autriche et ses alliés en 1866. Ouvrage traduit de l'allemand avce des documents inédits et deux cartes autographiques par Furcy Raynaud,1866,Paris
414293,"The Franco-German War, to the Catastrophe of Sedan and the Fall of Strassburg, etc. [A translation by F. Dwyer of “Der deutsch-französische Krieg” by A. Borbstaedt, with additions and modifications.]",1873,London
414540,"Electric Smelting and Refining ... Being the second edition of “Elektro-Metallurgie” ... Translated, with additions, by Walter G. M'Millan, etc",1897,London
414671,"Zwei Jahre im Sattel und am Feinde. Erinnerungen aus dem Unabhängigkeitskriege der Konföderirten ... Aus dem Englischen übersetzt von Kaehler ... Zwei mit einem Nachtrag “Zwanzig Jahre später” vermehrte Auflage, etc",1886,Berlin
414673,"Die grosse Reiterschlacht bei Brandy Station, 9 Juni 1863 ... Mit 6 Porträts, 5 Karten und 7 Vollbildern, etc",1893,Berlin
414749,"Chorographie du Dunois, ou Notice sur les villes, bourgs, fiefs, justices, châteaux ... qui y sont renfermés. Par M. l'abbé Bordas. Publiée sur son manuscrit conservé à la Bibliothèque de Châteaudun et revue par M. Achille Guenée",1851,Châteaudun
414750,"Histoire du comté de Dunois, de ses comtes et de sa capitale. Par M. l'abbé Bordas. Publiée sur son manuscrit conservé à la Bibliothèque de Châteaudun et revue par M. Achille Guenée. [With a plan.]",1850,Châteaudun
415580,Border Lances. A romance of the Northern Marches in the reign of Edward the Third. By the author of “Belt and Spur” [i.e. Emma Louisa Seeley] ... With many illustrations,1886,London
415605,"Histoire des monuments anciens et modernes de la ville de Bordeaux ... Ornée de ... planches gravées sur acier par Rouargue ainé, de vignettes dessinées par Rouargue jeune, etc",1845,Paris
415734,"Le Grütli et Guillaume Tell, ou Défense de la tradition vulgaire sur les origines de la Confédération suisse",1869,Genève
417337,Histoire de la commune de Namur au XIVe et au XVe siècles,1876,Namur
418006,Border Raids and Reivers ... Illustrated by Tom Scott,1898,Dalbeattie
419897,[The Bible in Spain ... Second edition.]: Single Works,1896,London
419927,"[Lavengro; the scholar, the gypsy, the priest. [With a portrait.]]: Single Works",1896,London
419930,"[Lavengro; the scholar, the gypsy, the priest. [With a portrait.]]: Single Works",1899,London
420310,"J. F. J. Borsums Reise nach Constantinopel, Palästina, und Egypten ... Ueberarbeitet von D. J. Kopf",1825,Berlin
420767,The post-humorous notes of the Pickwickian Club. Edited by “Bos”. Illustrated with ... engravings,1837,E. Lloyd
421107,"Histoire nationale des Gaulois sous Vercingétorix ... Illustrée de 160 gravures, etc",1882,Paris
421710,"Earthquakes. Translated ... by C. B. Pitman, etc",1890,London
423348,"An Universal History, from the creation of the world, to the time of Charlemagne. From the French ... A new translation. [By Thomas Chevelier.]: Discours sur l'histoire universelle",1810,London
425305,"Report of a French Protestant Refugee in Boston, 1687: translated from the French by E. T. Fisher: Appendix",1868,Brooklyn
425635,"The Poetical Works of Sir Alexander Boswell ... Now first collected and edited, with memoir, by Robert Howie Smith",1871,Glasgow
427025,"[History of Italy during the Consulate and Empire of Napoleon Buonaparte. Translated ... by the author of “The Life of Joanna, Queen of Naples” [i.e. Frances Moore.] [A translation of lib. 19-27 of the “Storia d'Italia dal 1789 al 1814.”]]",1829,Philadelphia
427108,"[Il Cid, an opera ... The translation by Bottarelli, jun., etc. [In verse.] Ital. & Eng.]",1773,Londra
427760,Toddle Island. Being the diary of Lord Bottsford. [A novel. By James Dennis Hird.],1894,London
427781,"Tezcoco en los ultimos tiempos de sus antiguos reyes, ó sea relacion tomada de los manuscritos inéditos de Boturini; redactados por el lic. D. Mariano Veytia. Publicalos con notas y adiciones para estudio de la juventud mexicana, Carlos Maria de Bustamante",1826,Mexico
428924,La Franche-Comté ... Illustrations par Eugène Sadoux,1890,Paris
429312,"The Boudoir Cabal. By the author of 'The Member for Paris' [i.e. Eustace C. G. Murray], etc",1875,London
429755,Sketching Rambles in Holland ... With illustrations by the author and Edwin A. Abbey,1885,London
432473,"Arrah-Na-Pogue; Arrah-of-the-Kiss. Or, the Wicklow wedding. [A tale. By Henry Llewellyn Williams.] Founded on the same incidents as the celebrated drama by Dion Bourcicault, etc",1865,New York
433014,A Lost God ... [A poem.] With illustrations by H. J. Ford,1891,London
433024,Where Lilies Live and Waters Wind Away. (Verses by F. W. Bourdillon. Pictures by Edith S. Berkeley.),1889,London
433666,The Century of Louis XIV. Its arts-its ideas. From the French ... by Mrs. Cashel Hoey. [With plates.],1896,London
433881,"Recherches sur Fontainebleau. Précédées d'un portrait de l'auteur et d'un manuscrit inédit de N. de Fer, 1699. [Articles reprinted from the “Abeille de Fontainebleau,” edited by Maurice Bourges.]",1896,Fontainebleau
434011,[Mensonges.] A Living Lie ... Translated ... by John de Villiers: Single Works,1896,London
434723,"The Midnight Hour. A comedy, in three acts. From the French of M. Damaniant called Guerre ouverte; ou, Ruse contre ruse ... Translated [and adapted] by Mrs. Inchbald",1787,London
434725,The Midnight Hour ... Translated [and adapted] by Mrs. Inchbald. The second edition,1788,London
435475,"[A Descriptive Guide to Bournemouth, Christchurch, Wimborne and Corfe Castle ... Illustrated with map and photographs.]: Appendix",1890,Bournemouth
435476,"[A Descriptive Guide to Bournemouth, Christchurch, Wimborne and Corfe Castle ... Illustrated with map and photographs.]: Appendix",1891,Bournemouth
435826,"Dictionnaire de la Révolution française. Institutions, hommes, et faits, etc",1893,Paris
436825,"Histoire de la ville de Troyes et de la Champagne méridionale. (Table générale et alphabétique publiée par ... Henry Boutiot, dressée par A.-S. Det.) [With plates.]",1870,Troyes
436838,"Une Visite à Louvain, suivie des considérations d'un père de famille sur l'importante découverte de M. Jacotot, et d'un modèle de questions à addresser aux élèves de l'enseignement universel sur le Télémaque ... Deuxième édition",1830,Paris
437049,"Old Homesteads of Groton, Massachusetts",1883,Groton
437801,"Egypt, Palestine, and Phœnicia. A visit to sacred lands ... Translated by W. H. Lyttelton ... With a biographical sketch of the author, by Professor F. Godet",1882,London
437826,"L'Écosse. Souvenirs et impressions de voyage. Ouvrage illustré de cent soixante-sept gravures, dont cent dix reproduisent les aquarelles exécutées d'après nature, par G. Vuillier",1898,Paris
437839,Three Months' Tour in Ireland ... Translated and condensed by Mrs. Arthur Walter. With illustrations: Trois mois en Irlande,1891,London
438325,"[Mission from Cape Coast Castle to Ashantee; with a statistical account of that kingdom, and geographical notices of other parts of the interior of Africa. [With plates and maps.]]",1873,London
438428,"Select Pieces in Verse and Prose. [With a biographical memoir signed J. B., i.e. J. Bowdler the Elder, and a portrait.]",1816,London
438788,Thirty Years of Colonial Government. A selection from the despatches and letters of ... Sir G. F. Bowen ... Edited by Stanley Lane-Poole. With portrait,1889,London
439200,"The Bower of Bliss; with other amatory poems, including the loves of Aberlard and Heloise. [By John Guilliam.]",1814,London
439737,"A True report of the horrible Murther [of Joan Wilson], which was committed in the house of Sir Ierome Bowes Knight, on the 20. day of February ... 1606 [by Edward Wilson and Robert Tetherton]. With the apprehension, detection and execution of the offenders",1607,London
440284,The Log of the 'Nereid' ... Illustrated by Lockhart Bogle,1889,London
440811,Sherman and his Campaigns: a military biography. [With maps and portraits.],1865,New York
441194,"The New Barmaid, musical vaudeville, etc",1897,London
441388,Early Records of the Duke of Manchester's English Manorial Estates,1892,London
441552,Notes about Boxley. Its abbey and church. [By Frederick Jonathan Richards.],1870,Maidstone
441602,The Boy's Book of Ballads. Illustrated with sixteen engravings on wood from drawings by John Gilbert,1861,London
441740,"The Boy Pirate; or, Life on the ocean",1866,London
442683,"Littondale: past and present. Part I. Fifty Years in Arncliffe. By the Venerable Archdeacon Boyd ... Part II. Halton Gill in the Olden Time. By the Rev. W. A. Shuffrey, etc. [With plates.]",1893,Leeds
443679,"The Chronology of the Eighteenth and Nineteenth Centuries; comprehending every important transaction from the year 1700, to the close of the year 1825. By H. Boyle. [A reissue, with different preliminaries and pagination, and without the tables, of vol. 2 of the “Universal Chronologist” by Joseph Martin. The chronology for 1700-1789 translated and adapted from the work of J. Martin; the remainder compiled by H. Boyle.]",1826,London
443745,"Vestiges of Old Newcastle and Gateshead. Illustrations by W. H. Knowles, etc",1890,Newcastle-upon-Tyne
444614,Annales historiques du comté de Neuchâtel et Valangin depuis Jules-César jusqu'en 1722 ... Publiées ... d'après le manuscrit de l'auteur revu et complété par son neveu J. -F. Boyve ... par Gonzalve Petitpierre,1854,Berne & Neuchâtel
446325,"Musings in Maoriland ... [In verse.] With an historical sketch by Sir Robert Stout and preface by Sir George Grey. Illustrated, etc",1890,Dunedin
446370,Fanti and Ashanti. Three papers read on board the S.S. Ambriz on the voyage to the Gold Coast ... With a map by Captain Huyshe,1873,Edinburgh
446713,[The Way about Derbyshire. With map ... With illustrations by W. A. Bettesworth.],1896,London
447183,[Marjorie Daw. A household idyl in two acts.],1886,New York
447778,"Jonathan Bradford; or, the Murder at the road-side inn. A romance, by the author of “The Hebrew Maiden,” etc. [i.e. T. P. Prest.]",1851,London
447869,"Poetical Pieces by the late Mr. Thomas Bradford. To which are added a sonnet on his death, and his epitaph, written by William Hayley, Esq",1808,Chichester
447900,"History of Plymouth Plantation ... Reprinted from the Massachusetts Historical Collections. Edited, with notes, by Charles Deane",1856,Boston
447921,S. M. l'Empereur. Les Bienfaits de l'Empire. Par A. Bradier ... et Maurice Cuminge,1879,Paris
448390,"New Pictures in Old Frames: being a book of verse for girls and boys, written in old French forms, etc",1894,London
450828,"A Calendar of Deeds, chiefly relating to Bristol, collected by George Weare Braikenridge, F.S.A. By Francis B. Bickley",1899,Edinburgh
450842,"Brailes: its churches, parish history, and antiquities, with a view of St. George's Church. [By Thomas Smith, Vicar of Brailes.]",1879,Evesham
451932,A City of Memories ... With a preface by the Lord Bishop of Winchester. Etchings and illustrations by W. B. Roberts,1893,Winchester
451933,Historic Winchester. England's first capital,1882,London
451934,[Historic Winchester. England's first capital.],1884,London
453317,"Die Kurmark Brandenburg, ihr Zustand und ihre Verwaltung unmittelbar vor dem Ausbruche des französischen Krieges im Oktober 1806. Von einem ehemaligen höheren Staatsbeamten [i.e. Magnus Friedrich von Bassewitz], etc: Appendix",1847,Leipzig
453596,Rome and the Popes. Translated from the German ... by Rev. W. J. Wiseman,1868,New York
453632,"Sir J. Franklin, die Unternehmungen für seine Rettung und die nordwestliche Durchfahrt. Nebst einer Tabelle der arktischen Temperaturen von Prof. Dr. H. W. Dove und einer Karte von Henry Lange",1854,Berlin
453763,Polen. Einzig autorisierte Übersetzung ... von A. Neustädter: Single Works,1898,Paris
